State	Time (s)	Phi (rad)	Del (rad)	dPhi (rad/s)	dDel (rad/s)	v_r (m/s)	v (m/s)	u (Nm)	T (Nm)	Heading (rad)	dHeading (rad/s)	Phi_y (rad)	Del_y (rad)	dPhi_y (rad/s)	dDel_y (rad/s)
3	57.014	0.0202	0.0006	0.0005	0	5	0	0	0	-0.1384	-0.0021	0.021	0.0006	0.0006	0
3	57.034	0.021	0.0021	-0.0187	0.0282	5	2.711	0	-0.4542	-0.1155	0.0583	0.0669	0.0021	-0.0208	0.0282
3	57.054	0.0203	0.003	0.0395	0.0385	5	2.7965	0	-0.5515	-0.1148	0.0465	-0.0605	0.003	0.0419	0.0385
3	57.075	0.0217	0.0048	0.0338	0.0852	5	2.711	0	-0.7137	-0.1142	0.0272	-0.0195	0.0048	0.0343	0.0852
3	57.096	0.0234	0.0076	-0.0094	0.0927	5	2.7538	0	-0.7461	-0.113	0.0752	0.0142	0.0076	-0.0119	0.0927
3	57.117	0.0204	0.0091	0.0339	0.0852	5	2.7025	0	-0.7137	-0.1119	0.0423	0.1172	0.0091	0.0366	0.0852
3	57.137	0.02	0.0106	0.0352	0.0755	5	2.6084	0	-0.8434	-0.1108	0.0553	-0.0266	0.0106	0.0337	0.0755
3	57.157	0.0194	0.0115	0.0077	0.0564	5	2.5143	0	-0.8759	-0.1097	0.0463	-0.0349	0.0115	0.0068	0.0564
3	57.178	0.0234	0.0124	0.0069	0.0427	5	2.463	0	-0.7461	-0.1083	0.0932	0.1895	0.0124	0.013	0.0427
3	57.198	0.0212	0.013	0.0608	0.0285	5	2.2834	0	-0.7785	-0.107	0.0457	-0.0487	0.013	0.063	0.0285
3	57.219	0.0226	0.0139	0.0181	0.0512	5	2.2321	0	-1.0381	-0.1053	0.0942	0.0442	0.0139	0.0154	0.0512
3	57.239	0.0217	0.0145	-0.0057	0.0327	5	2.1295	0	-0.7785	-0.1038	0.0749	0.234	0.0145	-0.0044	0.0327
3	57.261	0.0212	0.0152	0.0047	0.0297	5	1.9926	0	-0.9732	-0.102	0.0788	0.0166	0.0152	0.0034	0.0297
3	57.281	0.0236	0.0155	-0.0274	0.0227	5	1.89	0	-0.9407	-0.1001	0.0963	0.0405	0.0155	-0.0268	0.0227
3	57.302	0.024	0.0161	-0.0556	0.0367	5	1.813	0	-1.1678	-0.0982	0.1131	0.0092	0.0161	-0.0589	0.0367
3	57.322	0.0228	0.017	-0.0454	0.0352	5	1.7703	0	-1.0705	-0.0965	0.0469	0.0145	0.017	-0.042	0.0352
3	57.343	0.0224	0.0194	-0.05	0.0748	5	1.7446	0	-1.622	-0.0953	0.0602	-0.0468	0.0194	-0.05	0.0748
3	57.363	0.0213	0.0203	-0.0267	0.0779	5	1.7104	0	-1.3949	-0.0942	0.0449	-0.3101	0.0203	-0.0285	0.0779
3	57.384	0.0191	0.0206	-0.0295	0.0273	5	1.7275	0	-1.2327	-0.0933	0.0588	0.1192	0.0206	-0.031	0.0273
3	57.404	0.0149	0.0206	0.024	0.0103	5	1.7446	0	-1.0056	-0.0916	0.0777	-0.2451	0.0206	0.0293	0.0103
3	57.425	0.013	0.0197	0.0253	-0.0264	5	1.7874	0	-0.8434	-0.0905	0.0623	-0.0814	0.0197	0.0236	-0.0264
3	57.445	0.0155	0.0176	0.0329	-0.0658	5	1.8045	0	-0.4542	-0.0885	0.1183	0.2112	0.0176	0.0333	-0.0658
3	57.466	0.0173	0.0145	0.0513	-0.1306	5	1.8729	0	-0.2595	-0.0859	0.1263	-0.0614	0.0145	0.047	-0.1306
3	57.486	0.0174	0.0118	0.0374	-0.1376	5	1.9242	0	-0.3244	-0.0833	0.1289	-0.1187	0.0118	0.0374	-0.1376
3	57.508	0.0177	0.0103	0.05	-0.0652	5	2.0097	0	-0.811	-0.0806	0.1087	-0.1751	0.0103	0.0426	-0.0652
3	57.586	0.0179	0.0103	0.0238	-0.0652	5	2.0183	0	-0.9407	-0.0799	0.1074	-0.0257	0.0103	0.0217	-0.0652
3	57.606	0.0155	0.0158	-0.0279	0.0809	5	2.2834	0	-1.2976	-0.0721	0.071	-0.4007	0.0158	-0.0195	0.0809
3	57.627	0.0121	0.0167	-0.0182	0.0427	5	2.292	0	-1.4273	-0.0704	0.1094	0.2889	0.0167	-0.0097	0.0427
3	57.648	0.0126	0.0167	0.0622	0.0097	5	2.3946	0	-1.2327	-0.0686	0.1011	-0.317	0.0167	0.0709	0.0097
