State	Time (s)	Phi (rad)	Del (rad)	dPhi (rad/s)	dDel (rad/s)	v_r (m/s)	v (m/s)	u (Nm)	T (Nm)	Heading (rad)	dHeading (rad/s)	Phi_y (rad)	Del_y (rad)	dPhi_y (rad/s)	dDel_y (rad/s)
3	40.843	0.0107	0	-0.0002	0	5	0	0	0	-0.1278	-0.0044	0.0291	0	0	0
3	40.863	-0.0029	0.0148	0.0079	0.1855	5	1.223	0	-1.4273	-0.1193	0.0011	-0.076	0.0148	0.0089	0.1855
3	40.884	-0.0014	0.017	-0.0207	0.1285	5	1.317	0	-1.1678	-0.1187	0.0529	0.1306	0.017	-0.0211	0.1285
3	40.905	-0.0054	0.0185	-0.0345	0.0815	5	1.4025	0	-1.1354	-0.1178	0.0563	0.0673	0.0185	-0.0367	0.0815
3	40.927	-0.0082	0.0188	0.0442	0.0224	5	1.4111	0	-0.9083	-0.1166	0.0562	-0.1215	0.0188	0.0514	0.0224
3	40.948	-0.0081	0.0188	0.0434	0.0064	5	1.4966	0	-0.9407	-0.1151	0.0767	-0.0414	0.0188	0.0459	0.0064
3	40.968	-0.0063	0.0185	0.048	-0.0218	5	1.565	0	-0.7137	-0.1135	0.1003	0.0507	0.0185	0.0525	-0.0218
3	40.988	-0.0046	0.0179	0.0618	-0.0273	5	1.5479	0	-0.8759	-0.1119	0.0617	0.1346	0.0179	0.0624	-0.0273
3	41.01	-0.0006	0.0176	0.055	-0.01	5	1.6335	0	-0.9732	-0.1104	0.0678	0.0211	0.0176	0.0552	-0.01
3	41.031	0.0016	0.0176	0.0018	-0.0003	5	1.719	0	-1.0705	-0.1092	0.073	0.3055	0.0176	-0.0035	-0.0003
3	41.052	0.0021	0.0182	0.021	0.0233	5	1.7532	0	-1.1678	-0.1077	0.0676	0.0849	0.0182	0.0201	0.0233
3	41.072	0.0043	0.0191	0.0041	0.0276	5	1.8302	0	-1.3625	-0.1057	0.1011	0.0795	0.0191	0.0027	0.0276
3	41.094	0.007	0.0203	0.0192	0.0509	5	1.8644	0	-1.5571	-0.1038	0.1149	0.2342	0.0203	0.0198	0.0509
3	41.115	0.007	0.0215	-0.0169	0.0621	5	1.9328	0	-1.5246	-0.1019	0.0859	-0.073	0.0215	-0.0224	0.0621
3	41.135	0.0045	0.0227	-0.0259	0.0588	5	1.9499	0	-1.5246	-0.1002	0.07	-0.0818	0.0227	-0.0276	0.0588
3	41.156	0.0043	0.0233	-0.0294	0.0445	5	1.9755	0	-1.6544	-0.0984	0.1079	0.2163	0.0233	-0.0265	0.0445
3	41.178	0.0023	0.0239	-0.0108	0.0294	5	2.138	0	-1.5571	-0.0972	0.0659	-0.1301	0.0239	-0.0074	0.0294
3	41.198	0.004	0.0245	-0.0141	0.0224	5	2.1124	0	-1.6544	-0.0959	0.0607	0.1628	0.0245	-0.0151	0.0224
3	41.219	0.0031	0.0245	0.018	0.0064	5	2.1637	0	-1.5571	-0.0944	0.0701	-0.1703	0.0245	0.0239	0.0064
3	41.239	0.0034	0.0245	0.0235	-0.0118	5	2.2407	0	-1.4922	-0.0924	0.1245	0.1993	0.0245	0.0256	-0.0118
3	41.262	0.0032	0.0227	0.0151	-0.0488	5	2.2749	0	-1.1678	-0.09	0.1181	-0.0159	0.0227	0.0148	-0.0488
3	41.282	0.0027	0.0215	-0.0266	-0.0661	5	2.3176	0	-1.2003	-0.0875	0.1122	0.0862	0.0215	-0.0226	-0.0661
3	41.302	0.0025	0.0212	-0.0134	-0.0261	5	2.386	0	-1.4273	-0.0854	0.1123	-0.0916	0.0212	-0.0125	-0.0261
3	41.323	0.0018	0.0212	-0.0112	-0.0121	5	2.3775	0	-1.5571	-0.0836	0.0908	0.071	0.0212	-0.0147	-0.0121
3	41.414	0.0021	0.0215	-0.0117	0.0015	5	2.4716	0	-1.6544	-0.0814	0.1112	-0.1247	0.0215	-0.0146	0.0015
3	41.434	0.0027	0.0218	0.0213	-0.0036	5	2.6512	0	-1.6544	-0.073	0.1326	0.0858	0.0218	0.0167	-0.0036
3	41.455	0.0045	0.0206	0.0088	-0.0473	5	2.7025	0	-1.3625	-0.0702	0.1453	0.2059	0.0206	0.0086	-0.0473
3	41.475	0.0064	0.0191	0.0389	-0.0736	5	2.6854	0	-1.33	-0.0677	0.1231	-0.0242	0.0191	0.0432	-0.0736
3	41.497	0.0063	0.0182	-0.0068	-0.053	5	2.7965	0	-1.6868	-0.0651	0.1027	0.0192	0.0182	-0.0074	-0.053
3	41.518	0.0061	0.0182	-0.0474	-0.0076	5	2.788	0	-1.7193	-0.0632	0.1056	0.0061	0.0182	-0.0572	-0.0076
3	41.539	0.0049	0.0182	0.0047	0.0067	5	2.9077	0	-1.7842	-0.061	0.0871	-0.1609	0.0182	0.0107	0.0067
3	41.559	0.0063	0.0185	0.0279	0.0088	5	2.8906	0	-1.8166	-0.0593	0.0956	0.3543	0.0185	0.0295	0.0088
3	41.581	0.007	0.0185	-0.0103	0.0024	5	2.9505	0	-1.8166	-0.0574	0.0989	0.2719	0.0185	-0.0195	0.0024
3	41.602	0.0068	0.0185	-0.0014	-0.0033	5	3.0189	0	-1.849	-0.0551	0.1134	-0.0449	0.0185	-0.0034	-0.0033
3	41.623	0.0075	0.0182	-0.0128	-0.013	5	3.0531	0	-1.7842	-0.0526	0.1183	0.1409	0.0182	-0.0153	-0.013
3	41.643	0.0085	0.0179	0.0137	-0.0148	5	3.0959	0	-1.8166	-0.0504	0.1057	-0.191	0.0179	0.0144	-0.0148
3	41.665	0.0085	0.0176	0.0067	-0.0058	5	3.113	0	-1.8815	-0.0479	0.1218	-0.1953	0.0176	0.0094	-0.0058
3	41.686	0.0078	0.0173	0.0032	-0.0179	5	3.1557	0	-1.7517	-0.0451	0.1079	-0.0263	0.0173	0.0037	-0.0179
3	41.707	0.0077	0.017	-0.0016	-0.0127	5	3.2241	0	-1.9139	-0.0431	0.0869	-0.3511	0.017	-0.004	-0.0127
